breadth	type	Year
131	MB	-4000
125	MB	-4000
131	MB	-4000
119	MB	-4000
136	MB	-4000
138	MB	-4000
139	MB	-4000
125	MB	-4000
131	MB	-4000
134	MB	-4000
129	MB	-4000
134	MB	-4000
126	MB	-4000
132	MB	-4000
141	MB	-4000
131	MB	-4000
135	MB	-4000
132	MB	-4000
139	MB	-4000
132	MB	-4000
126	MB	-4000
135	MB	-4000
134	MB	-4000
128	MB	-4000
130	MB	-4000
138	MB	-4000
128	MB	-4000
127	MB	-4000
131	MB	-4000
124	MB	-4000
124	MB	-3300
133	MB	-3300
138	MB	-3300
148	MB	-3300
126	MB	-3300
135	MB	-3300
132	MB	-3300
133	MB	-3300
131	MB	-3300
133	MB	-3300
133	MB	-3300
131	MB	-3300
131	MB	-3300
138	MB	-3300
130	MB	-3300
131	MB	-3300
138	MB	-3300
123	MB	-3300
130	MB	-3300
134	MB	-3300
137	MB	-3300
126	MB	-3300
135	MB	-3300
129	MB	-3300
134	MB	-3300
131	MB	-3300
132	MB	-3300
130	MB	-3300
135	MB	-3300
130	MB	-3300
137	MB	-1850
129	MB	-1850
132	MB	-1850
130	MB	-1850
134	MB	-1850
140	MB	-1850
138	MB	-1850
136	MB	-1850
136	MB	-1850
126	MB	-1850
137	MB	-1850
137	MB	-1850
136	MB	-1850
137	MB	-1850
129	MB	-1850
135	MB	-1850
129	MB	-1850
134	MB	-1850
138	MB	-1850
136	MB	-1850
132	MB	-1850
133	MB	-1850
138	MB	-1850
130	MB	-1850
136	MB	-1850
134	MB	-1850
136	MB	-1850
133	MB	-1850
138	MB	-1850
138	MB	-1850
137	MB	-200
141	MB	-200
141	MB	-200
135	MB	-200
133	MB	-200
131	MB	-200
140	MB	-200
139	MB	-200
140	MB	-200
138	MB	-200
132	MB	-200
134	MB	-200
135	MB	-200
133	MB	-200
136	MB	-200
134	MB	-200
131	MB	-200
129	MB	-200
136	MB	-200
131	MB	-200
139	MB	-200
144	MB	-200
141	MB	-200
130	MB	-200
133	MB	-200
138	MB	-200
131	MB	-200
136	MB	-200
132	MB	-200
135	MB	-200
137	MB	150
136	MB	150
128	MB	150
130	MB	150
138	MB	150
126	MB	150
136	MB	150
126	MB	150
132	MB	150
139	MB	150
143	MB	150
141	MB	150
135	MB	150
137	MB	150
142	MB	150
139	MB	150
138	MB	150
137	MB	150
133	MB	150
145	MB	150
138	MB	150
131	MB	150
143	MB	150
134	MB	150
132	MB	150
137	MB	150
129	MB	150
140	MB	150
147	MB	150
136	MB	150
138	BH	-4000
131	BH	-4000
132	BH	-4000
132	BH	-4000
143	BH	-4000
137	BH	-4000
130	BH	-4000
136	BH	-4000
134	BH	-4000
134	BH	-4000
138	BH	-4000
121	BH	-4000
129	BH	-4000
136	BH	-4000
140	BH	-4000
134	BH	-4000
137	BH	-4000
133	BH	-4000
136	BH	-4000
131	BH	-4000
133	BH	-4000
135	BH	-4000
124	BH	-4000
134	BH	-4000
130	BH	-4000
135	BH	-4000
132	BH	-4000
129	BH	-4000
136	BH	-4000
138	BH	-4000
138	BH	-3300
134	BH	-3300
134	BH	-3300
