Rootstock	Weight
I	760
I	821
I	928
I	1009
I	766
I	726
I	1209
I	785
II	1036
II	1094
II	1635
II	1517
II	1197
II	1244
II	1495
II	1026
III	912
III	1398
III	1197
III	1613
III	1476
III	1571
III	1506
III	1458
IV	944
IV	1241
IV	1023
IV	1067
IV	693
IV	1085
IV	1242
IV	1017
V	1084
V	1151
V	1381
V	1242
V	673
V	1137
V	1455
V	1325
VI	800
VI	606
VI	790
VI	853
VI	610
VI	562
VI	707
VI	952
VII	414
VII	335
VII	885
VII	1012
VII	489
VII	616
VII	788
VII	733
IX	375
IX	410
IX	335
IX	560
IX	251
IX	272
IX	478
IX	278
X	506
X	882
X	737
X	772
X	827
X	821
X	1149
X	1035
XII	1609
XII	1658
XII	1789
XII	2375
XII	1556
XII	1418
XII	2266
XII	2508
XIII	1052
XIII	1167
XIII	981
XIII	944
XIII	737
XIII	1392
XIII	1326
XIII	1052
XV	1258
XV	1304
XV	1290
XV	1288
XV	1176
XV	1177
XV	1331
XV	1490
XVI	1499
XVI	1412
XVI	1488
XVI	1751
XVI	1937
XVI	1823
XVI	1838
XVI	1817
